wavelength,molar abs,stdev
342,4.82472810851794,0.000107568798186584
343,4.51879851079292,0.000147036045090462
344,4.59453493835659,0.000223314606525443
345,4.86985906547559,0.00019687774175909
346,4.59649297052104,0.000205587056452471
347,4.37896383453794,0.000206395040738969
348,4.34549197506069,0.000173505834566691
349,4.34243449981021,0.000178512955722323
350,3.43360635360221,0.000191125469788848
351,3.14948410523585,0.000198318402785694
352,3.3865830700997,0.000190553579010163
353,3.64970649505483,0.000202120466589201
354,3.54838611505375,0.000181929467615668
355,3.45014916202247,0.00019531473516139
356,3.36789844103702,0.000208495104896827
357,3.62554180448273,0.000232109517586465
358,3.49847656607238,0.000223806861390446
359,3.27652847848213,0.000232524495550463
360,3.32405287184584,0.000202484619553989
361,3.01482190056405,0.000159386341980489
362,3.08512780384271,0.000213107269792303
